,description,end_date,exhibitors,lat,lng,location,name,start_date,type,visitors
3319,"Controllership Forum Strategies for Success Irvine provides the attendees with the opportunity to discover how to succeed in uncertain times by using new real-world strategies to obtain credit, deal with capital, reduce overhead costs, develop smarter budgets, utilize the latest business performance metrics and boost profitability.",2018-07-09,50,33.787348,-117.916387,"12021 Harbor Blvd, Garden Grove, CA 92840, USA, Garden Grove, USA",Controllership Forum Strategies For Success,2018-07-09,Conference,-1
3320,"The Leadership, Team-Building and Coaching Skills for Managers and Supervisors will teach attendees step-by-step, how to produce a manager's game plan to ensure you'll reach your goals and objectives. Plus, find out how to maximize every employee's abilities and uncover strengths and talents you never knew existed.",2018-09-07,50,25.781919,-80.265153,"1000 NW Le Jeune Rd. Miami FL 33126, Miami, USA","Leadership, Team-Building and Coaching Skills for Managers and Supervisors",2018-09-07,Conference,-1
3321,"Salone Dello Sudente Rome is a most significant sector event in Italy dedicated to university orientation, training and professional post-diploma and post-graduation for a total of. The Student's Fair is the undisputed reference event to meet young students who come to the world of post-graduate work or post-diploma study and need to know the reality of an extremely complex and varied landscape.",2018-11-15,500,41.870812,12.354601,"Via Tullio Ascarelli, 261, 00166 La Massimina-Casal Lumbroso RM, Italy, La Massimina-Casal Lumbroso, Italy",Salone Dello Sudente Rome,2018-11-13,Trade Show,5000
3322,"New Jersey Bridge-the-Gap will provide essential information from a skilled faculty that will guide you through the day-to-day practice of law and cover topics in required practice areas and will include eight of the nine specified subject areas (basic estate planning, law practice management, family, real estate closing, municipal court practice, civil, criminal and landlord/tenant practice) required of newly admitted New Jersey attorneys.",2018-11-28,500,40.755476,-73.982169,"42 W 44th St, New York, NY 10036, New York, USA",New Jersey Bridge-the-Gap,2018-11-28,Trade Show,5000
3323,"CoinGeek Week Conference is an extremely fast-growing cryptocurrency and blockchain conference. It is a platform to share knowledge, experiences and discuss the unique advantages of how cryptocurrency and the blockchain will help your businesses add an extra revenue generating machine.",2018-11-30,-1,51.511632,-0.101971,"Puddle Dock, London EC4V 3DB, London, UK",CoinGeek Week Conference,2018-11-28,Conference,-1
3324,"The Satellite Finance Network Conference, organized by the Satellite Finance Network will take place on 28th March 2018 at the 99 City Road Conference Centre in London, United Kingdom. This conference aims to bring the growing satellite and space industry together with the financial community by offering opportunities for both and support the growth of the UK space industry at all levels.",2018-03-28,-1,51.525282,-0.087599,"99 City Rd London EC1Y 1AX, London, UK",Satellite Finance Network Conference,2018-03-28,Conference,-1
3325,"Onco Therapeutics & Drug Discovery conference will also provide an excellent international forum for sharing latest knowledge in immunotherapies and interpretation of new data which result in increasing awareness among the population thus driving a huge growth for the need of drug discovery for Cancer. Through itas thought provoking discussions and networking among the stakeholders and scientists, this conference will succeed in building long lasting collaborations with an international mix of delegates and scientists both from industry and academia.",2019-07-18,50,25.204849,55.270783,"Dubai, Dubai, UAE",Onco Therapeutics and Drug Discovery Conference,2019-07-17,Conference,-1
3326,"International Conference on Nanotechnology in Medicine will provide a unique platform for discussing key aspects of nanotechnology and its applications in medicine. In doing so, the conference will attract international delegates from academia, industry and research institutes to network, exchange ideas and gain new insights on the forefront of nanotechnology and medicine. The conference will see a range of oral, poster presentations, plenary, keynote, invited talks, workshops, and it will also host an exhibition.",2018-06-28,-1,53.474148,-2.234652,"Sackville St Manchester M1 3BB, Manchester, UK",International Conference on Nanotechnology in Medicine,2018-06-26,Conference,-1
3327,"Hotel Investment Conference South-Asia proved to be an unequalled gathering place for business leaders, investors, owners, developers, operators and professional advisors from around the globe. The program featured a series of keynotes by subject matter experts, interviews with industry stalwarts, and a number of engaging panel discussions.",2019-04-04,50,19.07737,72.851367,"Off Western Express Highway, Santacruz East, Siddharath Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055, Mumbai, India",Hotel Investment Conference South-Asia,2019-04-03,Conference,-1
3328,New York State Organization of Bursars & Business Administrators Conference is a not-for-profit corporation organized to promote excellence and professionalism among its members in carrying out student-related business functions at institutions of higher education in New York.,2019-06-14,-1,40.724482,-73.640738,"45 7th St, Garden City, NY 11530, USA, Garden, USA",New York State Organization of Bursars & Business Administrators Conference,2019-06-12,Conference,-1
3329,"The ICIS Asian Base Oils & Lubricants Conference will provide high-level content for those looking to hear about the direction of the Asian base oils, lubricants and transportation markets, as well as business-critical networking for those looking to foster existing relationships and build new ones across the continent.",2019-06-27,50,1.294094,103.853722,"80 Bras Basah Rd 189560, Singapore, Singapore",ICIS Asian Base Oils & Lubricants Conference,2019-06-25,Conference,-1
3330,"Erlensee Rockt is an open air rock and metal festival in the German municipality of the same name this July.
This summer's festival will see sets from German folk metal outfit Subway to Sally, as well as tribute band The Guns N' Roses Experience UK.",2018-07-07,-1,50.18199,9.006269,No Location Given,Erlensee Rockt,2018-07-07,Music Festival,-1
3331,"World of Concrete is the industry's only annual international event dedicated to the commercial concrete and masonry construction industries. WOC features indoor and outdoor exhibits with the industry's leading suppliers showcasing innovative products and technologies, exciting demonstrations and competitions, and a world-class education program.",2018-01-26,1500,36.131998,-115.151681,"3150 Paradise Rd Las Vegas NV 89109, Las Vegas, USA",World of Concrete,2018-01-23,Trade Show,60000
3332,"The AnEW, organized by the SingEx Exhibitions (India) Pvt. Ltd will take place from 6th to 7th March 2018 at the MAX Atria in Singapore. The conference unifies medical professionals in the aesthetics, anti-ageing and wellness fields from Southeast Asia, Australia and New Zealand.",2018-03-07,-1,1.333295,103.956768,"1 Expo Drive, #02-01 486150, Singapore, Singapore",AnEW,2018-03-06,Conference,319
3333,The NHS Productivity & Efficiency Congress brings together a diverse group of senior stakeholders from across the health community to discuss the challenges and opportunities posed by the productivity challenge.,2019-10-01,50,53.479592,-2.236426,"11 Portland St, Manchester M1 3HU, UK, Manchester, UK",NHS Productivity & Efficiency Congress,2019-10-01,Conference,-1
3334,"Pilot Careers Live North is a 1 day event being held on 6th July 2019 at the Concorde Conference Centre in Altrincham, United Kingdom. This event is organized for aspiring military or airline pilots, school or college career advisors and aspiring commercial helicopter pilots. The event equips the attendees with enough knowledge about the pilot training process, ensuring they get the best possible, independent advice at the start of their career.",2018-07-07,100,53.353062,-2.284298,"Wilmslow Old Rd, Altrincham WA15 8XQ, Knutsford, UK",Pilot Careers Live,2018-07-07,Trade Show,1000
3335,"The trade show Cafe Show China - China International Cafe Show is held in Beijing, China, PR. The frequency of the trade show is annual. In 2017 Cafe Show China was the presentation platform for 308 exhibitors. 69085 visitors seized the opportunity to attend the trade show and inform themselves on news and trends in the following business sectors: Food, Beverages. CIEC - China International Exhibition Center Group Corp., EXPORUM Inc. are the trade show organizers in charge of Cafe Show China.",2018-09-17,-1,22.1630451,113.5557149826,"Beijing, China, PR",Cafe Show China,2018-09-15,Tradeshow,69085
3336,"Crypto Investor Show is a 1 day event being held on 10th March 2018 at the QEII Centre in London, United Kingdom. This event will bring together the crypto community with private investors and traders in the UK for the first time and gain insight into the array of investment opportunities provided by Cryptocurrencies and Blockchain Technology.",2018-03-10,500,51.500222,-0.129027,"Broad Sanctuary, Westminster, London SW1P 3EE, London, UK",Crypto Investor Show,2018-03-10,Trade Show,20000
3337,"QS Connect MBA London provides the attendees with the opportunity to meet face-to-face with admissions directors from top-ranked grad schools, learn about the best graduate programs in the world, apply for exclusive scholarships, and attend complimentary info sessions from the experts.",2018-09-29,500,51.500911,-0.116545,"200 Westminster Bridge Rd Lambeth London SE1 7UT, London, UK",QS Connect 1 2 1 London,2018-09-29,Trade Show,5000
3338,"Join WeWork and TUMI for this exclusive event and be one of the first to preview TUMI's Fall Collection. This one is for the frequent flyers, the jet-setters and those who just love a quick getaway. Join Tan Yin Yin, General Manager at TUMI together with Nicole Wong, friend of the brand and co-founder of nplusc as well as Eyad Zahra, Head of Community and Member Experience at WeWork Southeast Asia, as they share stories from their journeys around the world and their best packing tips for their busy life on-the-go. Stick around to preview the new TUMI Fall Collection and enjoy exclusive WeWork x TUMI offers on some of the TUMI's signature collections, for all on-site purchases.",2019-08-03,100,1.278539,103.848854,"71 Robinson Rd, Singapore 068895, Singapore, Singapore",WeWork x TUMI - The Art of Packing,2019-08-03,Trade Show,1000
3339,"The trade show CES Asia - Consumer Technology Industry Exhibition takes place in Shanghai, China, PR. The frequency of the trade show is annual. CES Asia is held at the venue SNIEC - Shanghai New International Expo Centre. CES Asia is open to the following types of visitors: Trade visitors, last day public admitted. The year of the tradeshow's foundation is 2015. Shanghai Intex Exhibition Co., Ltd., Consumer Technology Association are the trade show organizers in charge of CES Asia. On m+a ExpoDataBase CES Asia is assigned to the business sectors Multimedia, Consumer Electronics.",2018-06-15,-1,13.7397107,100.5112057,"Shanghai, China, PR",CES Asia,2018-06-13,Tradeshow,0
3340,"The Summit on Legal Innovation and Disruption is a TED Talk style summit focused on innovation and the business of law and it will be followed by facilitated table talks, sprint panels, and town hall discussions, whereby participants discuss what they know now that they did not know before the session started and how to apply these lessons to their own organizations. The event also provides participants with maximum interaction with peers and colleagues in a roundtable, workshop environment to assess current challenges and design concrete solutions.",2019-02-28,50,37.78913,-122.40725,"345 Stockton St, San Francisco, CA 94108, San Francisco, USA",The Summit on Legal Innovation and Disruption,2019-02-27,Conference,-1
3341,"Piscina & Wellness Barcelona is confirmed as the international business center of the sector. The event will features swimming pools, safety equipment, fitness & training equipment, accessories, furniture and supplementary equipment and etc.",2019-10-18,500,41.35457,2.128083,"Av. Joan Carles I 64 08908 LHospitalet de Llobregat Barcelona, Barcelona, Spain",Piscina & Wellness Barcelona,2019-10-15,Trade Show,20000
3342,"The Coast-to-Coast Career Fair Seattle is an incredible employment opportunity to stand out in person in a way that you might not on your resume. It welcomes any job seekers searching for job opportunities in different industries like Health Care, Mining, Engineering, Finance, Administration, Accounting, Collections, Advertising, Marketing, Media, Telecommunications, Technology, Oil, Tourism, and much more.",2018-09-19,146,47.62032,-122.342846,"211 Dexter Ave N, Seattle, WA 98109, Seattle, USA",Coast-to-Coast Career Fair - Seattle,2018-09-19,Trade Show,21000
3343,"India Summit will evaluate how states are performing in the areas of attracting investment, making it easier to do business, supporting innovation and entrepreneurship, improving access to quality education and, ultimately, contributing to India's long-term growth and development. The focal topics include can India's economically, culturally and socially disparate collection of states and territories work together for the country's benefit, how can competition between states spur growth, and much more.",2019-10-17,50,18.927944,72.821029,"Netaji Subhash Chandra Bose Road, Nariman Point, Mumbai, Maharashtra 400021, Mumbai, India",India Summit,2019-10-17,Conference,-1
3344,"International Conference on Earthquake Geotechnical Engineering will address through general and parallel sessions the most recent developments in earthquake geotechnical engineering, stimulating fruitful technical and scientific interaction within the fields of seismology, geophysics, geology, structural as well as infrastructural engineering.",2019-06-20,-1,41.895654,12.487731,"Largo Angelicum, 1, 00184 Roma, Rome, Italy",International Conference on Earthquake Geotechnical Engineering,2019-06-17,Conference,-1
3345,"This event showcases products like Government agencies promoting education, Banks providing Educational loans, Service Provider to Educational institutions, ICT solution providers etc.",2018-04-19,100,37.871899,-122.25854,"Berkeley, CA 94720, Berkeley, USA",Just in Time Job Fair,2018-04-18,Trade Show,15000
3346,"NY Cocktail Expo is an event that illustrates products like food bites, cocktail testing etc. Good times ahead as the premier cocktail & spirit exhibition. Featuring the tastiest new cocktails made by the best in mixology with top spirits. Here people shake up their tastiest cocktails with top spirits like Wyoming Whiskey, KAS Spirits, Haus Alpenz, Virgil Kaine Low Country Whiskey Co. Queens Courage Old Tom Gin and many more.",2018-05-20,500,40.755614,-73.928489,"36-08 33rd St, Queens, NY 11106, New York, USA",NY Cocktail Expo Long Island,2018-05-20,Trade Show,20000
3347,"The International Conference on Politics & International Affairs aim is to act as a forum where academics and researchers from all over the world can meet and exchange ideas on their research, and discuss the future developments in their disciplines.",2019-06-20,50,37.977799,23.736484,"Valaoritou 8, Athina 106 71, Athens, Greece",International Conference on Politics,2019-06-17,Conference,-1
3348,We invite the scholars/scientists/engineers/ researchers/ practitioners/students to join with us and share the new innovative trends in their respective field. This common platform is expected to provide the bases for joint venture among different fields to serve the society in a better way.,2019-06-16,50,51.494398,-0.118589,"113 Lambeth Rd Lambeth London SE1 7LS, London, UK","FEAST International Convention on Software Engineering, Information Technology and Computer Applications",2019-06-15,Conference,-1
3349,"Explore and source the latest technology at the world's largest electronics sourcing show: Global Sources Electronics at AsiaWorld-Expo, Hong Kong. The first phase is Global Sources Consumer Electronics on April 11-14, 2020, featuring home, outdoor and auto electronics-with the latest in audio products. It features 4,000 booths of manufacturers and suppliers from China, Korea and across Asia. Highlights this April include Asia's first dedicated Audio Sourcing Hall, the Next-Gen Components Zone.",2019-10-14,2119,22.319417,113.940675,"Cheong Wing Rd Chek Lap Kok, Hong Kong, Hong Kong",Global Sources Consumer Electronics,2019-10-11,Trade Show,37466
3350,The WAETAG Conference aims to empower educators and communities to support and champion for the educational and social-emotional development of talented and gifted students.,2019-10-19,50,47.60674,-122.189447,"300 112th Ave SE, Bellevue, WA 98004, Bellevue, USA",WAETAG CONFERENCE,2019-10-18,Conference,-1
3351,"The Paris Blockchain Summit is the major international event in France dedicated to cryptocurrencies and Blockchain technology and it will gather major international key players of the Blockchain ecosystem including well-known influencers, investors, government representatives, blockchain developers, law firms and service providers.",2019-10-05,50,48.830253,2.275898,"20 Rue du Colonel Pierre Avia, 75015 Paris, France, Paris, France",Paris Blockchain Summit,2019-10-04,Conference,-1
3352,"Women's Health and Beauty Expo is designed for women of all ages. Whether it is for fashion, beauty, lifestyle or health, the Women's Health and Beauty Expo will bring together these resources in one place. The Women's Health and Beauty Expo offers women an event to attend, celebrate, splurge, and embrace Womanhood. The expo will feature exhibits featuring products and services.  Admission and Parking are complimentary.",2019-08-10,500,36.250547,-115.244951,"4949 N Rancho Dr Las Vegas NV 89130, Las Vegas, USA",Las Vegas Women&;s Health and Beauty Expo,2019-08-10,Trade Show,3000
3353,"Australasian Tunnelling Society will overview current and future tunneling projects, discuss the latest industry developments and hear from those at the forefront of the most recent Australasian and global tunneling projects.",2019-10-15,50,-33.883576,151.199528,"235 Jones Street, Level 7, Building 10, Ultimo NSW 2007, Sydney, Australia",Australasian Tunnelling Society,2019-10-14,Conference,-1
3354,"Deep Learning World is the premier conference covering the commercial deployment of deep learning. The event delivers case studies, keynote addresses from the preeminent top names, comprehensive coverage of deep learning application areas across industries, and actionable guidance for hands-on practitioners.",2018-06-07,500,36.116169,-115.174499,"3570 S Las Vegas Blvd Las Vegas NV 89109, Las Vegas, USA",Deep Learning World,2018-06-03,Trade Show,5000
3355,The National Conference For Catechetical Leadership will provide the attendees with the best opportunity to come together as catechetical professionals for networking. It is the nationas expert on evangelization and what makes NCCL an extraordinary organization is that it brings together the full complement of ministry collaborators.,2019-05-23,50,33.789532,-117.916626,"11999 Harbor Blvd, Garden Grove, CA 92840, Garden Grove, USA",National Conference For Catechetical Leadership,2019-05-19,Conference,-1
3356,"Capel Military Show will showcase products like amateur gear, electronic equipment, civilian vehicles,vintage and veteran military vehicles, military radio sets and vehicle spare, World War II American Truck, functioning gun, Tractor, Motorcycle, military vehicle parts and collectibles etc.",2018-07-08,500,51.225184,-0.329197,"Temple Lane, Capel, Dorking, Surrey, England, RH5 5HJ, Dorking, UK",Capel Military Show,2018-07-07,Trade Show,5000
3357,"Join hundreds of healthcare, pharmaceutical and technology influencers and leaders at the 7th Annual WIRED Health event, taking place March 25-26 in London, as they gather to hear compelling stories from disruptors in the health, digital health and pharmaceutical industries. With billions of fresh investments in the healthcare industry, trends and technology are changing and opportunities for partnerships and collaborations are growing. This unique networking opportunity provides the defining outlook on where the future of health is headed, and challenges professionals to be a part of the transformation. Special rates available for academic, clinicians and startups.",2019-03-26,25,51.534989,-0.12211,"90 York Way Kings Cross London N1 9AG, London, UK",WIRED Health,2019-03-26,Conference,-1
3358,"The Safe Streets Summit aims to provide a local yet regionally connected approach to prioritizing and implementing Complete Streets throughout Southeast Florida and it brings together national speakers, public officials, technical staff, and community partners to elevate the efforts on how to design and implement safe and equitable transportation facilities for all modes of transportation.",2019-02-26,50,26.106717,-80.105832,"3030 Holiday Dr, Fort Lauderdale, FL 33316, Fort Lauderdale, USA",Safe Streets Summit,2019-02-25,Conference,-1
3359,"Africa Dental Summit & Expo is a 2 day event being held from 6th March to 7th March 2018 at the Olympia London in London, United Kingdom. This event showcases products like Dental equipment and material, manufacturing, distributoring, pharmaceutical and much more etc. in the Drugs & Medicines, Hospitals & Medical Equipments, Medical & Pharmaceutical industries.",2018-03-07,500,51.496283,-0.210726,"Hammersmith Rd, London W14 8UX, London, UK",Africa Dental Summit & Expo,2018-03-06,Trade Show,5000
3360,"Annual High Potent Medicines Conference would address the issues in process development, scale-up, regulatory updates, containment, handling, cleaning validation and toxicology of highly potent compounds.",2018-05-30,-1,50.123563,8.519713,"Main-Taunus-Zentrum 1 65843 Sulzbach (Taunus), Sulzbach, Germany",Annual High Potent Medicines Conference,2018-05-29,Conference,-1
3361,"ACCJC Conference works with its member institutions to advance educational quality and student learning and achievement. This collaboration fosters institutional excellence and continuous improvement through innovation, self-analysis, peer review, and application of standards.",2019-05-03,-1,37.59361,-122.36527,"1333 Old Bayshore Hwy, Burlingame, CA 94010, Burlingame, USA",ACCJC Conference,2019-04-30,Conference,-1
3362,"The World Congress Endoscopic Surgery Of The Paranasal Sinuses, organized by the  MEETINGPHARMAGROUP  will take place from 5th July to 8th July 2018 at the Centre de Convencions Internacional de Barcelona (CCIB) in Barcelona, Spain. The conference will cover areas like Endoscopic Surgery of the Paranasal Sinuses.",2018-07-08,50,41.409407,2.219077,"Willy Brandt Square 11-14 08019 Barcelona, Barcelona, Spain",World Congress Endoscopic Surgery Of The Paranasal Sinuses,2018-07-05,Conference,-1
3363,"GRCI France conference will cover areas like normal hemodynamic , Aortic stenosis at the time of TAVI , Live demonstration from Gabriel Montpied CHU and much more.",2018-12-07,50,48.8566101,2.3514992,"Paris, France",National Meeting GRCI,2018-12-05,Conference,-1
3364,"Financial Services Customer Experience Conference will feature Advanced & Influential Strategies For Harnessing Deeper Behavioural Insights Using Future-Proofed Digital, Data & AI Techniques Which Complement Existing Channels & Deliver Exceptional Customer Experiences & Results.",2019-06-27,50,51.493341,-0.183343,"4-18 Harrington Gardens Kensington London SW7 4LH, London, UK",Financial Services Customer Experience Conference,2019-06-27,Conference,-1
3365,"The Art and Science of Professional Leadership will take you on a journey to discover your own strengths as a leader and demonstrate how you can build on those strengths to lead yourself and your own team to higher productivity. This programme is a practical and inspiring study of many of the best practices, skills, and techniques in modern business today. It will help you to overcome the enormous pressures that exist in this increasing fast-changing business, economic and industrial climate.",2019-02-01,50,51.5073219,-0.1276474,"London, UK",The Art and Science of Professional Leadership London,2019-01-28,Conference,-1
3366,"The Alternative Legal IT Conference has built a regular attendance of over 200 mid-market Law firm IT Directors. The highlight of the conference is the case study round-table sessions that are hosted by IT Directors themselves, to stimulate shared experiences and lessons learnt. opportunities, for two days of inspiring content, frank debate and enjoyable networking. The Alternative Legal give you opportunities and a second-to-none chance to meet the technology decision-makers for the mid-market legal community.",2019-10-02,50,51.57085,-0.752164,"Fieldhouse Ln, Marlow SL7 1GJ, Marlow, UK",The Alternative Legal IT Conference,2019-10-01,Conference,-1
3367,"Baco Reggae Festival brings a lineup of the scene's biggest names to the French capital, with reggae, roots, dub and ska acts coming together for a day of great performances in Le Zenith Paris.
Inviting acts from across the globe - Jamaica, USA, England, Austria, Italy and of course France - the festival is a truly global celebration of the beloved sound, with a suitably inclusive and welcoming atmosphere that so often goes hand-in-hand with the music.",2018-10-27,-1,48.893812,2.393157,No Location Given,Baco Reggae Festival,2018-10-27,Music Festival,-1
3368,"Dolls Houses & Miniatures Fairs Newport Pagnell will display products like dollhouses, miniatures, teddy bears, bouncy castles, sausage stalls, car races, vehicles, sports cars and supercars, a wide range of dollhouses and miniatures based products and much more.",2019-04-22,100,52.069813,-0.701766,"EAST M1, JUNCTION 14 LONDON ROAD, NEWPORT PAGNELL BUCKINGHAMSHIRE MK16 0JA, Milton Keynes, UK",Dolls Houses & Miniatures Fairs Newport Pagnell,2019-04-22,Trade Show,1000
3369,"Technology Security Clearance and Cyber Security Career Fair bring together hundreds of employers and thousands of uniquely qualified candidates each year, providing an excellent complement to career s. By shortening the time-to-hire cycle, a career fair allows employers and candidates to optimize their time by participating in multiple, fast-paced interviews.",2018-09-27,100,33.819353,-117.921477,"900 Disneyland Dr, Anaheim, CA 92802, Anaheim, USA",Technology Security Clearance and Cyber Security Career Fair,2018-09-27,Trade Show,35000
3370,"This two-day event will bring together key industry stakeholders from the wind farm industry, energy producers, developers, solution and technology providers, manufacturers, principal associations and consultants.",2018-06-21,50,51.496743,-0.206499,"380 Kensington High St, Kensington, London W14 8NL, London, UK",Developing Onshore Wind Farms The European Focus,2018-06-20,Conference,-1
3371,"European Association of Zoos and Aquaria Annual Conference aim is to facilitate cooperation within the European zoo and aquarium community towards the goals of education, research, and conservation. EAZA believe that zoos and aquaria have a strong role to play in protecting nature and wildlife both at our institutions and out in the field.",2019-09-21,-1,39.49622,-0.402052,"Avenida Cortes Valencianas 60 46015 Valencia Valencia, Valencia, Spain",European Association of Zoos and Aquaria Annual Conference,2019-09-17,Conference,-1
3372,"The CIPD People Analytics Conference and Workshop is suitable for both aspiring analytics professionals, looking to develop the necessary skills to collect, manage and articulate data, as well as those who want to take their analytical ability to a more advanced level. Tailor your journey based on your ability and join us for an insightful, inspiring and practical two days where you will learn how to use your findings to identify tangible action plans, implement positive change, gain an influential standing as a data-driven professional, and master the secrets behind a best-selling data narrative.",2018-11-28,50,51.515142,-0.159243,"31 Great Cumberland Pl Marylebone London W1H 7TA, London, UK",HR Analytics Conference and Workshop,2018-11-27,Conference,-1
3373,"Ion Channels & Immunity Symposium provides a unique opportunity for scientists studying ion channels and transporters in immune cells to discuss their research on the regulation, function and physiological roles of ion channels in innate and adaptive immunity. Leading scientists in this field from academia and industry will present their latest research and pre- and postdoctoral trainees, supported by travel stipends, will have the opportunity to present posters.",2018-12-03,-1,40.740691,-73.973646,"435 E 30th St, New York, NY 10016, USA, New York, USA",Ion Channels & Immunity Symposium,2018-12-03,Conference,-1
3374,"The Trade and Commodity Finance Masterclass is an introduction to the tools and processes of trade and commodity finance. Participants explore this specialized area of international finance and assess the risks involved in international trade in a structured manner. They learn techniques to mitigate and transfer risk between the parties involved in these transactions. The differing roles and requirements of importers, exporters, traders, insurers, and bankers will be examined.",2018-03-01,50,51.5073219,-0.1276474,"London, UK",Moodys Analytics Trade and Commodity Finance Masterclass,2018-02-27,Conference,-1
3375,"Digital Music Forum features two tracks with fireside chats, roundtables, panels and presentations on digital game investment, creation, distribution, marketing and monetization, the event brings together many of the elite in the industry for top sessions and power networking. It's not just the deals they make but people they meet and the long lasting relationships forged. If you are serious about the business of music entertainment, we invite you to join us at Digital Music Forum.",2018-10-04,50,40.705975,-74.018579,"36 Battery Pl, New York, NY 10280, New York, USA",Digital Music Forum,2018-10-04,Conference,-1
3376,"This premier B2B event provides the appropriate platform to engage and discuss ideas with your fellow peers, while facilitating a professional atmosphere and environment for good company representation and development. The summit will shed light on the delivery of cost and quality efficient process development, manufacturing, and commercialization of cell and gene therapies. It is an honour and privilege to invite you to participate in this Summit.",2019-06-06,-1,52.518955,13.404485,"Mövenpick Hotel Berlin Schöneberger Str. 3, 10963, Berlin, Germany",Gene and Cell Therapy: Development and Commercialization Summit,2019-06-05,Conference,-1
3377,"The International Conference on Information Technology: New Generations is an annual event focusing on state of the art technologies pertaining to digital information and communications. The applications of advanced information technology to as astronomy, biology, education, geosciences, security, and health care are among topics of relevance to ITNG. Visionary ideas, theoretical and experimental results, as well as prototypes, designs, and tools that help the information readily flow to the user are of special interest. Machine Learning, Robotics, High-Performance Computing, and Innovative Methods of Computing are examples of related topics.",2018-04-18,50,36.112982,-115.161466,"255 E Flamingo Rd Las Vegas NV 89169, Las Vegas, USA",International Conference on Information Technology : New Generations,2018-04-16,Conference,-1
3378,Summit on Biosimilars will discuss the future of biosimilars and formulate solutions to the complex regulatory and patent challenges ahead with industry leaders from both innovator and biosimilar companies.,2018-06-27,50,40.7308619,-73.9871558,"New York, USA",Summit on Biosimilars,2018-06-25,Conference,-1
3379,"The 20th Annual Multi-Unit Franchising Conference is a must-attend event for multi-unit and multi-brand franchisees looking to build their businesses to achieve their growth goals. To maximize your conference experience, we invite you to join our Multi-Unit Franchising Conference event community. Available from your computer, tablet, IOS and Android devices. We hope you utilize this space to meet and connect with fellow attendees. Create meetings, network, and get excited about this year's event!. All of us at Franchise Update Media care deeply about everyone in the franchise community. Our primary concern and commitment to you is to ensure we provide a safe, healthy environment for your conference experience.",2019-03-27,50,36.116169,-115.174499,"3570 S Las Vegas Blvd Las Vegas NV 89109, Las Vegas, USA",Multi-Unit Franchising Conference,2019-03-24,Conference,-1
3380,"In New York, USA, the trade show JA New York Shows - JA Summer Show / JA Special Delivery / JA Winter Show - Jewelry Industry Shows is held. The trade show's frequency is three times a year. The venue hosting JA New York Shows is Jacob K. Javits Convention Center. As trade show organizer Emerald Expositions, Inc. is responsible for organising and managing JA New York Shows. Jewelry, Goldware, Silverware are the business sectors on which JA New York Shows focuses. Trade visitors are the visitors to whom JA New York Shows is open.",2019-03-12,-1,40.7308619,-73.9871558,"New York, USA",JA New York Shows,2019-03-10,Tradeshow,-1
3381,"As the largest, premium and most diverse, the show's influence has spread not only across the Middle East, Africa and the Indian subcontinent but has gone well beyond, offering thousands of influential trade buyers the latest security & safety solutions and exciting new opportunities from best brands in the world of security. Commercial Security, Smart Home, Information Security, Fire & Rescue, Safety & Health, Homeland Security & Policing, and Perimeter & Physical Security and innovations come together in one place.",2018-01-23,1300,25.227185,55.288806,"Sheikh Zayed Rd - Dubai, Dubai, UAE",Intersec,2018-01-21,Trade Show,34854
3382,"PDE Wedding Fayre will display products like wedding dresses, groom wear, decoration photography, cakes, and jewelry.",2018-10-14,100,51.438808,0.270969,"Bluewater, Dartford, Greenhithe DA9 9ST, Dartford, UK",PDE Wedding Fayre,2018-10-13,Trade Show,1000
3383,"The International Lightning Detection Conference/International Lightning Meteorology Conference, organized by the VAISALA will take place from 12th March to 15th July 2018 at the Hyatt Regency Pier Sixty-Six in Fort Lauderdale, United States Of America. The conference will cover areas like Research findings, and new applications.",2018-03-15,-1,26.101469,-80.11452,"2301 SE 17th St, Fort Lauderdale, FL 33316, Fort Lauderdale, USA",International Lightning Detection Conference/International Lightning Meteorology Conference,2018-03-12,Conference,-1
3384,"The Asia Motor Insurance and Claims Management Conference will cover areas like Safety in Motor Insurance, Claims Management, Motor Product Distribution, Car Thefts Recovery and Big Data & Telematics and many more.",2019-06-27,-1,13.722029,100.528907,"106 North Sathorn Road Silom, Bang Rak, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand, อาคารสยามสแควร์, Thailand",Asia Motor Insurance and Claims Management Conference,2019-06-26,Conference,-1
3385,"Bijorhca Paris is a place of meetings, exchanges, animations, a trendy space, contests, workshops. It features finished jewel, precious or fantasy, to watches, through the technical industries, packaging, services, shop window decorations,",2019-09-09,500,48.830432,2.28781,"1 Place de la Porte de Versailles 75015 Paris, Paris, France",Bijorhca Paris,2019-09-06,Trade Show,50000
3386,"The Privacy Conference offers inspiration, advice, and exchange on how to achieve compliance and how to further innovation. This event will cover areas like which best practices have been established and which Data Protection Management concepts have proven effective, what is needed to assure an innovation-friendly environment in the EU, how do other markets deal with privacy issues, how do supervisory authorities interpret and control the new requirements in practice, etc.",2019-09-17,50,52.524372,13.389856,"Johannisstrase 2 10117 Berlin, Berlin, Germany",Privacy Conference,2019-09-17,Conference,-1
